"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"67","Process","GO:0051649",29,2375,9606,"9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000295400,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356465,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000421280,9606.ENSP00000440984,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000481114","SLC2A3,PYGL,HGF,SRGN,BST1,EGF,HHEX,STOM,HK3,TGFA,RNASE2,A2M,QPCT,ARG1,RAB32,STX11,VNN1,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MYO10,AP3B2,MGAM,LIN7A,CD63,FOLR3",1.04e-05,0.003,"Establishment of localization in cell"
"68","Process","GO:0048584",28,2257,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000241261,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000321370,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000355996,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000440643,9606.ENSP00000447730,9606.ENSP00000478561","CD4,OSM,HGF,TNFSF10,EGF,HHEX,TGFA,CCR1,GPR27,ZBED2,PLSCR1,ARG1,G0S2,TNFSF13B,FLOT1,KL,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,ADAM9,MYO10,TLR5,CD63,CYP1B1",1.16e-05,0.0033,"Positive regulation of response to stimulus"
"69","Process","GO:0009967",23,1654,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000241261,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000321370,9606.ENSP00000355996,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000440643,9606.ENSP00000447730,9606.ENSP00000478561","CD4,OSM,HGF,TNFSF10,EGF,HHEX,TGFA,CCR1,GPR27,ZBED2,G0S2,FLOT1,KL,GRB10,DAAM2,HPSE,CARD10,IL1R1,IL18R1,ADAM9,TLR5,CD63,CYP1B1",1.48e-05,0.004,"Positive regulation of signal transduction"
"70","Process","GO:0051641",33,2967,9606,"9606.ENSP00000011653,9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000295400,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356465,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000421280,9606.ENSP00000440984,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000479919,9606.ENSP00000481114","CD4,SLC2A3,PYGL,HGF,SRGN,BST1,EGF,HHEX,STOM,HK3,TGFA,RNASE2,A2M,QPCT,ARG1,RAB32,STX11,VNN1,FLOT1,KLF5,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MYO10,AP3B2,MGAM,LIN7A,CD63,SH3GLB1,FOLR3",1.47e-05,0.004,"Cellular localization"
"71","Process","GO:0010033",33,3011,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000219334,9606.ENSP00000219919,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000241261,9606.ENSP00000257570,9606.ENSP00000260600,9606.ENSP00000261233,9606.ENSP00000282728,9606.ENSP00000296140,9606.ENSP00000330959,9606.ENSP00000345494,9606.ENSP00000348521,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000359258,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000369442,9606.ENSP00000375907,9606.ENSP00000381793,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000422607,9606.ENSP00000478561","CD4,OSM,SMPD3,AQP9,HGF,NAMPT,TNFSF10,OASL,ADCY3,IRAK3,HHEX,CCR1,IL1R2,PLSCR1,GJB6,ARG1,CCRL2,GCLM,IFIT1,IFIT3,IFIT2,TNFSF13B,FLOT1,KLF5,KL,PID1,GRB10,MDK,IL1R1,IL18R1,ADAM9,ACSL1,CYP1B1",2e-05,0.0052,"Response to organic substance"
"72","Process","GO:0007165",45,4876,9606,"9606.ENSP00000011653,9606.ENSP00000054668,9606.ENSP00000215781,9606.ENSP00000216338,9606.ENSP00000219334,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000241261,9606.ENSP00000242465,9606.ENSP00000257570,9606.ENSP00000260600,9606.ENSP00000261233,9606.ENSP00000263734,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000293851,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000325296,9606.ENSP00000330959,9606.ENSP00000349967,9606.ENSP00000355996,9606.ENSP00000356465,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000364945,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000422607,9606.ENSP00000436714,9606.ENSP00000440643,9606.ENSP00000467290,9606.ENSP00000478561","CD4,UTS2,OSM,GZMH,SMPD3,HGF,NAMPT,TNFSF10,SRGN,OASL,ADCY3,IRAK3,EPAS1,BST1,EGF,HHEX,PRSS33,TGFA,CCR1,GPR27,PKD2L1,IL1R2,CCRL2,G0S2,RAB32,IFIT1,IFIT3,IFIT2,DDAH2,TNFSF13B,FLOT1,KL,GRB10,DAAM2,CARD10,MDK,IL1R1,IL18R1,ADAM9,MYO10,ACSL1,HCAR3,TLR5,SEMA6B,CYP1B1",2.65e-05,0.0068,"Signal transduction"
"73","Process","GO:0009615",9,293,9606,"9606.ENSP00000257570,9606.ENSP00000261233,9606.ENSP00000303276,9606.ENSP00000345494,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891","OASL,IRAK3,RNASE2,PLSCR1,IFI44,IFI44L,IFIT1,IFIT3,IFIT2",2.99e-05,0.0075,"Response to virus"
"74","Process","GO:0010646",36,3514,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000241261,9606.ENSP00000242465,9606.ENSP00000261233,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000308976,9606.ENSP00000321370,9606.ENSP00000323929,9606.ENSP00000330959,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000355996,9606.ENSP00000356076,9606.ENSP00000356905,9606.ENSP00000359258,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000375907,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000440643,9606.ENSP00000447730,9606.ENSP00000478561","CD4,OSM,HGF,TNFSF10,SRGN,IRAK3,BST1,EGF,HHEX,TGFA,CCR1,GPR27,VWC2L,ZBED2,A2M,IL1R2,PLSCR1,ARG1,G0S2,DYRK3,VNN1,GCLM,FLOT1,KL,PID1,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,ADAM9,TLR5,CD63,CYP1B1",3.13e-05,0.0077,"Regulation of cell communication"
"75","Process","GO:0051239",34,3227,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000219334,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000261233,9606.ENSP00000263734,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000296140,9606.ENSP00000308976,9606.ENSP00000330959,9606.ENSP00000349446,9606.ENSP00000355996,9606.ENSP00000356905,9606.ENSP00000365569,9606.ENSP00000367879,9606.ENSP00000369442,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000397312,9606.ENSP00000410257,9606.ENSP00000419446,9606.ENSP00000422607,9606.ENSP00000440643,9606.ENSP00000467290,9606.ENSP00000478561","CD4,OSM,SMPD3,HGF,SRGN,IRAK3,EPAS1,EGF,HHEX,CCR1,VWC2L,IL1R2,ARG1,G0S2,VNN1,FLOT1,XK,KL,SERPINB1,PROS1,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,LRRN3,SCN5A,ADAM9,ACSL1,TLR5,SEMA6B,CYP1B1",3.25e-05,0.0079,"Regulation of multicellular organismal process"
"76","Process","GO:0023051",36,3553,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000241261,9606.ENSP00000242465,9606.ENSP00000261233,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000308976,9606.ENSP00000321370,9606.ENSP00000323929,9606.ENSP00000330959,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000355996,9606.ENSP00000356076,9606.ENSP00000356905,9606.ENSP00000359258,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000375907,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000440643,9606.ENSP00000447730,9606.ENSP00000478561","CD4,OSM,HGF,TNFSF10,SRGN,IRAK3,BST1,EGF,HHEX,TGFA,CCR1,GPR27,VWC2L,ZBED2,A2M,IL1R2,PLSCR1,ARG1,G0S2,DYRK3,VNN1,GCLM,FLOT1,KL,PID1,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,ADAM9,TLR5,CD63,CYP1B1",3.98e-05,0.0095,"Regulation of signaling"
"77","Process","GO:0042221",41,4333,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000219334,9606.ENSP00000219919,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000237612,9606.ENSP00000241261,9606.ENSP00000257570,9606.ENSP00000260600,9606.ENSP00000261024,9606.ENSP00000261233,9606.ENSP00000263734,9606.ENSP00000272425,9606.ENSP00000282728,9606.ENSP00000296140,9606.ENSP00000303276,9606.ENSP00000325296,9606.ENSP00000330959,9606.ENSP00000345494,9606.ENSP00000348521,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000359258,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000369442,9606.ENSP00000375907,9606.ENSP00000381793,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000410257,9606.ENSP00000419446,9606.ENSP00000422607,9606.ENSP00000467290,9606.ENSP00000478561","CD4,OSM,SMPD3,AQP9,HGF,NAMPT,ABCG2,TNFSF10,OASL,ADCY3,SLC40A1,IRAK3,EPAS1,NAT8,HHEX,CCR1,RNASE2,PKD2L1,IL1R2,PLSCR1,GJB6,ARG1,CCRL2,GCLM,IFIT1,IFIT3,IFIT2,TNFSF13B,FLOT1,KLF5,KL,PID1,GRB10,MDK,IL1R1,IL18R1,SCN5A,ADAM9,ACSL1,SEMA6B,CYP1B1",4.38e-05,0.0102,"Response to chemical"
"78","Process","GO:0065007",83,12171,9606,"9606.ENSP00000011653,9606.ENSP00000054668,9606.ENSP00000200652,9606.ENSP00000215781,9606.ENSP00000216338,9606.ENSP00000216392,9606.ENSP00000219334,9606.ENSP00000219919,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000237612,9606.ENSP00000241261,9606.ENSP00000242465,9606.ENSP00000257570,9606.ENSP00000260600,9606.ENSP00000261024,9606.ENSP00000261233,9606.ENSP00000261336,9606.ENSP00000263734,9606.ENSP00000264474,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000272425,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000293851,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000308976,9606.ENSP00000321370,9606.ENSP00000323929,9606.ENSP00000325296,9606.ENSP00000330959,9606.ENSP00000344866,9606.ENSP00000345494,9606.ENSP00000348521,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000350359,9606.ENSP00000355996,9606.ENSP00000356076,9606.ENSP00000356465,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000359258,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000364945,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000367879,9606.ENSP00000368572,9606.ENSP00000369442,9606.ENSP00000370115,9606.ENSP00000375907,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000397312,9606.ENSP00000410257,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000422607,9606.ENSP00000436714,9606.ENSP00000440643,9606.ENSP00000441828,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000467290,9606.ENSP00000469445,9606.ENSP00000478561,9606.ENSP00000479919,9606.ENSP00000482245","CD4,UTS2,SLC22A4,OSM,GZMH,PYGL,SMPD3,AQP9,HGF,NAMPT,ABCG2,TNFSF10,SRGN,OASL,ADCY3,SLC40A1,IRAK3,PZP,EPAS1,CSTA,BST1,EGF,NAT8,HHEX,STOM,HK3,PRSS33,TGFA,CCR1,GPR27,VWC2L,ZBED2,A2M,PKD2L1,IL1R2,FBXL5,PLSCR1,GJB6,ARG1,CCRL2,CREB5,G0S2,DYRK3,RAB32,STX11,VNN1,GCLM,IFIT1,IFIT3,IFIT2,DDAH2,TNFSF13B,FLOT1,KLF5,XK,SAT1,KL,SERPINB1,PID1,PROS1,MMRN1,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,LRRN3,SCN5A,ADAM9,MYO10,ACSL1,HCAR3,TLR5,HPR,LIN7A,CD63,SEMA6B,PNMA3,CYP1B1,SH3GLB1,DACH1",4.72e-05,0.0108,"Biological regulation"
"79","Process","GO:0048878",17,1124,9606,"9606.ENSP00000011653,9606.ENSP00000216392,9606.ENSP00000219919,9606.ENSP00000237612,9606.ENSP00000260600,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000292432,9606.ENSP00000296140,9606.ENSP00000344866,9606.ENSP00000348521,9606.ENSP00000349967,9606.ENSP00000359258,9606.ENSP00000360869,9606.ENSP00000367879,9606.ENSP00000369442,9606.ENSP00000410257","CD4,PYGL,AQP9,ABCG2,ADCY3,SLC40A1,EPAS1,HK3,CCR1,FBXL5,GJB6,CCRL2,GCLM,IFIT1,XK,KL,SCN5A",8.54e-05,0.0186,"Chemical homeostasis"
"80","Process","GO:0009987",94,15024,9606,"9606.ENSP00000011653,9606.ENSP00000054668,9606.ENSP00000075120,9606.ENSP00000200652,9606.ENSP00000215781,9606.ENSP00000216338,9606.ENSP00000216392,9606.ENSP00000219334,9606.ENSP00000219919,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000237612,9606.ENSP00000237889,9606.ENSP00000241261,9606.ENSP00000242465,9606.ENSP00000256951,9606.ENSP00000257570,9606.ENSP00000259989,9606.ENSP00000260600,9606.ENSP00000261024,9606.ENSP00000261233,9606.ENSP00000263734,9606.ENSP00000264474,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000272425,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000293851,9606.ENSP00000295400,9606.ENSP00000295888,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000303276,9606.ENSP00000308976,9606.ENSP00000322276,9606.ENSP00000323929,9606.ENSP00000325296,9606.ENSP00000330032,9606.ENSP00000330959,9606.ENSP00000344829,9606.ENSP00000344866,9606.ENSP00000345494,9606.ENSP00000348521,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000355996,9606.ENSP00000356076,9606.ENSP00000356465,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000357425,9606.ENSP00000359258,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000364945,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000367265,9606.ENSP00000367879,9606.ENSP00000368572,9606.ENSP00000369442,9606.ENSP00000370115,9606.ENSP00000375907,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000394842,9606.ENSP00000410257,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000422607,9606.ENSP00000436047,9606.ENSP00000436714,9606.ENSP00000440643,9606.ENSP00000440984,9606.ENSP00000441828,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000467290,9606.ENSP00000478561,9606.ENSP00000479919,9606.ENSP00000481114,9606.ENSP00000482245","CD4,UTS2,SLC2A3,SLC22A4,OSM,GZMH,PYGL,SMPD3,AQP9,HGF,NAMPT,ABCG2,NDUFB3,TNFSF10,SRGN,EMP1,OASL,FGFBP2,ADCY3,SLC40A1,IRAK3,EPAS1,CSTA,BST1,EGF,NAT8,HHEX,STOM,HK3,PRSS33,TGFA,WDFY3,CCR1,GPR27,RNASE2,VWC2L,VNN2,A2M,PKD2L1,UPP1,IL1R2,QPCT,FBXL5,PLSCR1,GJB6,ARG1,CCRL2,G0S2,DYRK3,RAB32,STX11,VNN1,SMPDL3A,GCLM,IFIT1,IFIT3,IFIT2,DDAH2,TNFSF13B,FLOT1,KLF5,CKAP4,XK,SAT1,KL,SERPINB1,PID1,PROS1,MMRN1,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,GCA,SCN5A,ADAM9,MYO10,ACSL1,ST3GAL4,HCAR3,TLR5,AP3B2,HPR,MGAM,LIN7A,CD63,SEMA6B,CYP1B1,SH3GLB1,FOLR3,DACH1",0.00012,0.0255,"Cellular process"
"81","Process","GO:0051240",22,1770,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000261233,9606.ENSP00000263734,9606.ENSP00000265171,9606.ENSP00000296140,9606.ENSP00000308976,9606.ENSP00000355996,9606.ENSP00000356905,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000381793,9606.ENSP00000384262,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000397312,9606.ENSP00000419446,9606.ENSP00000422607,9606.ENSP00000440643,9606.ENSP00000478561","CD4,OSM,HGF,IRAK3,EPAS1,EGF,CCR1,VWC2L,G0S2,VNN1,FLOT1,KL,GRB10,HPSE,MDK,IL1R1,IL18R1,LRRN3,ADAM9,ACSL1,TLR5,CYP1B1",0.00012,0.0261,"Positive regulation of multicellular organismal process"
"82","Process","GO:0051607",7,210,9606,"9606.ENSP00000257570,9606.ENSP00000303276,9606.ENSP00000345494,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891","OASL,RNASE2,PLSCR1,IFI44L,IFIT1,IFIT3,IFIT2",0.00015,0.0303,"Defense response to virus"
"83","Process","GO:0006952",18,1296,9606,"9606.ENSP00000011653,9606.ENSP00000222553,9606.ENSP00000257570,9606.ENSP00000296140,9606.ENSP00000303276,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000356905,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000440643,9606.ENSP00000441828","CD4,NAMPT,OASL,CCR1,RNASE2,PLSCR1,ARG1,CCRL2,VNN1,IFI44L,IFIT1,IFIT3,IFIT2,MDK,IL1R1,IL18R1,TLR5,HPR",0.00015,0.0305,"Defense response"
"84","Process","GO:0001819",10,461,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000365569,9606.ENSP00000384262,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000440643,9606.ENSP00000478561","CD4,OSM,HGF,FLOT1,HPSE,MDK,IL1R1,IL18R1,TLR5,CYP1B1",0.00018,0.0366,"Positive regulation of cytokine production"
